run_id,arch,level,mode,seed,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s
vit_small_L2_scratch_s1,vit_small,2,scratch,1,0.0218579234972677,236.02031779289248,18,0.0097402597402597,0.0584415584415584,0.0006425688939995,0.0180885179596256,0.0136546184738955,21784244,27.5559399804961
swin_tiny_L2_pretrained_s1,swin_tiny,2,pretrained,1,0.6794171220400729,682.4944291114807,34,0.9090909090909092,0.9707792207792209,0.881168831168831,0.352447096082311,0.48714859437751,27756206,20.638624172475524
swin_tiny_L2_scratch_s1,swin_tiny,2,scratch,1,0.0091074681238615,221.0970814228058,11,0.0064935064935064,0.0389610389610389,0.0001455786124507,0.0110854954318833,0.0080321285140562,27756206,24.615856591351346
resnet50_L3_pretrained_s1,resnet50,3,pretrained,1,0.7035573122529645,670.3133933544159,32,0.9318181818181818,0.9902597402597404,0.9096320346320343,0.3432638706118387,0.4738955823293173,24139124,26.64914929852004
resnet50_L3_scratch_s1,resnet50,3,scratch,1,0.4110671936758893,607.4525103569031,29,0.5551948051948052,0.8636363636363636,0.4672260639793107,0.2134848314507054,0.2931726907630522,24139124,26.775517599451863
convnext_tiny_L3_scratch_s1,convnext_tiny,3,scratch,1,0.0105401844532279,276.6902117729187,12,0.0032467532467532,0.0259740259740259,2.6396367859782497e-05,0.0124480751545171,0.0116465863453815,28056980,26.348747927131587
efficientnetv2_s_L3_pretrained_s1,efficientnetv2_s,3,pretrained,1,0.7865612648221344,1028.6422986984253,40,0.9707792207792209,0.987012987012987,0.961038961038961,0.4513857021305336,0.5811244979919679,20572036,26.961467688034045
efficientnetv2_s_L3_scratch_s1,efficientnetv2_s,3,scratch,1,0.4953886693017127,949.4567542076112,37,0.7694805194805194,0.922077922077922,0.7156926406926407,0.2455304077832932,0.3437751004016064,20572036,27.38811685409363
vit_small_L3_pretrained_s1,vit_small,3,pretrained,1,0.7154150197628458,704.3284571170807,40,0.9448051948051948,0.987012987012987,0.9274891774891776,0.3745536773516809,0.5056224899598394,21784244,25.543339477677247
vit_small_L3_scratch_s1,vit_small,3,scratch,1,0.4163372859025033,1968.971274852753,112,0.737012987012987,0.8863636363636364,0.6722943722943723,0.1680046166423407,0.2441767068273092,21784244,27.42168561865944
swin_tiny_L3_scratch_s1,swin_tiny,3,scratch,1,0.0052700922266139,447.5598669052124,16,0.0032467532467532,0.0162337662337662,2.101458412138024e-05,0.0065397287610798,0.002008032128514,27756206,20.072313641493743
resnet50_L4_pretrained_s1,resnet50,4,pretrained,1,0.7182163187855788,1073.6162343025208,40,0.9415584415584416,0.9902597402597404,0.9237012987012988,0.364132759390315,0.4899598393574297,24139124,26.306679526569607
resnet50_L4_scratch_s1,resnet50,4,scratch,1,0.1612903225806451,535.8528802394867,20,0.1785714285714285,0.525974025974026,0.115199052452747,0.1601432787373753,0.2164658634538152,24139124,28.55377486767681
convnext_tiny_L4_scratch_s1,convnext_tiny,4,scratch,1,0.0047438330170777,297.15232276916504,10,0.0032467532467532,0.0162337662337662,2.1151486949532557e-05,0.0132337742675393,0.0080321285140562,28056980,26.68501420450009
efficientnetv2_s_L4_pretrained_s1,efficientnetv2_s,4,pretrained,1,0.7922201138519924,1126.7104785442352,34,0.9772727272727272,0.9902597402597404,0.9696969696969696,0.4760506100734281,0.6236947791164659,20572036,27.22454352191829
efficientnetv2_s_L4_scratch_s1,efficientnetv2_s,4,scratch,1,0.5806451612903226,1785.9389553070068,54,0.8798701298701299,0.9545454545454546,0.84512987012987,0.2824200988943071,0.3815261044176707,20572036,25.850469895474006
vit_small_L4_pretrained_s1,vit_small,4,pretrained,1,0.74573055028463,889.0036377906799,40,0.9707792207792209,0.9902597402597404,0.961038961038961,0.4311744594000256,0.5799196787148594,21784244,26.30164421752776
vit_small_L4_scratch_s1,vit_small,4,scratch,1,0.3766603415559772,1774.9981989860537,80,0.7305194805194806,0.8863636363636364,0.6639146567717996,0.1587250889759158,0.2313253012048192,21784244,26.10634163198421
swin_tiny_L4_pretrained_s1,swin_tiny,4,pretrained,1,0.8007590132827325,1454.1438114643097,40,0.9837662337662336,0.9902597402597404,0.9783549783549784,0.4891807070758596,0.6457831325301204,27756206,24.7874806769254
swin_tiny_L4_scratch_s1,swin_tiny,4,scratch,1,0.0132827324478178,470.9961166381836,13,0.0064935064935064,0.0551948051948051,0.0007549724044569,0.0155809200891656,0.0132530120481927,27756206,25.91901193763901
resnet50_Lfull_pretrained_s1,resnet50,full,pretrained,1,0.7349726775956285,1116.1607558727264,40,0.9642857142857144,0.9805194805194806,0.9534632034632032,0.3714416030757811,0.5048192771084338,24139124,26.68272584089444
resnet50_Lfull_scratch_s1,resnet50,full,scratch,1,0.3442622950819672,669.9464643001556,24,0.512987012987013,0.8603896103896104,0.4214440321583179,0.2151533619347112,0.293574297188755,24139124,26.470753903300068
convnext_tiny_Lfull_scratch_s1,convnext_tiny,full,scratch,1,0.3961748633879781,2102.9026947021484,68,0.7597402597402597,0.9155844155844156,0.7044372294372293,0.1276548296654193,0.180722891566265,28056980,25.85840185174756
efficientnetv2_s_Lfull_pretrained_s1,efficientnetv2_s,full,pretrained,1,0.7941712204007286,1268.7381463050842,37,0.974025974025974,0.9935064935064936,0.9664502164502164,0.4986491797908131,0.6602409638554216,20572036,26.56895821248324
efficientnetv2_s_Lfull_scratch_s1,efficientnetv2_s,full,scratch,1,0.6038251366120219,1715.783277511597,50,0.9188311688311688,0.9675324675324676,0.8944805194805194,0.3070209111781952,0.4345381526104417,20572036,26.943426218424424
vit_small_Lfull_pretrained_s1,vit_small,full,pretrained,1,0.7504553734061931,923.2232213020324,40,0.9772727272727272,0.987012987012987,0.9696969696969696,0.4387076447353761,0.5855421686746988,21784244,25.23656488868898
vit_small_Lfull_scratch_s1,vit_small,full,scratch,1,0.4353369763205829,1868.5196933746336,81,0.775974025974026,0.9285714285714286,0.7168831168831169,0.1773871402527762,0.251004016064257,21784244,26.49474143100612
swin_tiny_Lfull_pretrained_s1,swin_tiny,full,pretrained,1,0.8060109289617486,1509.23947763443,40,0.9772727272727272,0.9902597402597404,0.9696969696969696,0.4736883080254183,0.6349397590361445,27756206,26.22363296993053
swin_tiny_Lfull_scratch_s1,swin_tiny,full,scratch,1,0.01183970856102,414.3811526298523,11,0.0032467532467532,0.0227272727272727,2.8232636928289102e-05,0.0117646462399845,0.008433734939759,27756206,25.261855696555656
resnet50_L1_pretrained_s2,resnet50,1,pretrained,2,0.5176848874598071,309.71921825408936,31,0.7077922077922078,0.9123376623376624,0.6403679653679654,0.2109937293359842,0.302008032128514,24139124,25.56929477939053
resnet50_L1_scratch_s2,resnet50,1,scratch,2,0.0192926045016077,119.04898190498352,12,0.0097402597402597,0.0519480519480519,0.0014061921795978,0.0323578712499807,0.0413654618473895,24139124,27.825118664528198
convnext_tiny_L1_scratch_s2,convnext_tiny,1,scratch,2,0.0064308681672025,117.78357172012328,11,0.0032467532467532,0.0162337662337662,2.101458412138024e-05,0.0105355297711387,0.0100401606425702,28056980,27.30546611258014
efficientnetv2_s_L1_pretrained_s2,efficientnetv2_s,1,pretrained,2,0.5176848874598071,465.0296211242676,40,0.7402597402597403,0.905844155844156,0.6729437229437228,0.2347067869114278,0.3433734939759036,20572036,27.285298661690643
efficientnetv2_s_L1_scratch_s2,efficientnetv2_s,1,scratch,2,0.3344051446945337,614.9877209663391,53,0.4090909090909091,0.698051948051948,0.3410327767470624,0.1312399011163768,0.180722891566265,20572036,25.809643185981685
vit_small_L1_pretrained_s2,vit_small,1,pretrained,2,0.5594855305466238,340.019082069397,38,0.7305194805194806,0.9090909090909092,0.66504329004329,0.2529717770000881,0.3578313253012048,21784244,27.55338568635201
vit_small_L1_scratch_s2,vit_small,1,scratch,2,0.0321543408360128,257.800877571106,29,0.0097402597402597,0.0681818181818181,0.0011402288188002,0.0216787048186235,0.0180722891566265,21784244,27.93430857786417
swin_tiny_L1_pretrained_s2,swin_tiny,1,pretrained,2,0.6205787781350482,334.66688680648804,27,0.762987012987013,0.922077922077922,0.711038961038961,0.2795974983085002,0.4036144578313253,27756206,26.275789385129187
swin_tiny_L1_scratch_s2,swin_tiny,1,scratch,2,0.022508038585209,247.9262776374817,20,0.0129870129870129,0.0551948051948051,0.0006988396046146,0.0159346268910547,0.0132530120481927,27756206,26.28644531397064
resnet50_L2_pretrained_s2,resnet50,2,pretrained,2,0.6305147058823529,596.4999094009399,38,0.8798701298701299,0.961038961038961,0.8479437229437228,0.2900233657881962,0.3991967871485943,24139124,25.153169349585152
resnet50_L2_scratch_s2,resnet50,2,scratch,2,0.1709558823529411,328.9731116294861,21,0.25,0.5746753246753247,0.1771475773504994,0.1317383705903695,0.165863453815261,24139124,27.92776808107523
convnext_tiny_L2_scratch_s2,convnext_tiny,2,scratch,2,0.0055147058823529,152.9920744895935,9,0.0032467532467532,0.0162337662337662,2.101458412138024e-05,0.0109318076415786,0.0116465863453815,28056980,26.518450610278474
efficientnetv2_s_L2_pretrained_s2,efficientnetv2_s,2,pretrained,2,0.6452205882352942,470.5403995513916,25,0.9188311688311688,0.961038961038961,0.8939393939393939,0.3397172409172155,0.4606425702811245,20572036,26.758806096561237
efficientnetv2_s_L2_scratch_s2,efficientnetv2_s,2,scratch,2,0.4136029411764705,900.8355026245116,48,0.698051948051948,0.8831168831168831,0.6316635745207174,0.1866003081973377,0.2654618473895582,20572036,27.49577025290107
vit_small_L2_pretrained_s2,vit_small,2,pretrained,2,0.6139705882352942,539.9245452880859,40,0.8993506493506493,0.9772727272727272,0.8706709956709957,0.3327829995252008,0.4562248995983936,21784244,26.61134915147396
vit_small_L2_scratch_s2,vit_small,2,scratch,2,0.0863970588235294,442.6882581710816,33,0.0811688311688311,0.2792207792207792,0.0346596642136628,0.0454955479378172,0.0449799196787148,21784244,23.49351649125407
